Iteracions,ACC_1e1,ACC_2e1,ACC_5e1,ACC_1,ACC_1e3,ACC_1e2
9,0.1127,0.1029,0.142,0.1731,0.0742,0.1182
19,0.1131,0.1031,0.2417,0.2873,0.0745,0.1192
29,0.1131,0.1037,0.3395,0.2817,0.0757,0.1212
39,0.1119,0.1056,0.3252,0.3108,0.0768,0.1273
49,0.1107,0.1103,0.3819,0.4476,0.0783,0.1443
59,0.1092,0.1286,0.4051,0.567,0.0788,0.1733
69,0.1076,0.1681,0.4322,0.7458,0.0794,0.1932
79,0.1067,0.2395,0.5963,0.7855,0.0807,0.2004
89,0.1074,0.2655,0.6937,0.8115,0.0815,0.2039
99,0.1102,0.2528,0.6498,0.8281,0.0826,0.2064
109,0.1223,0.2187,0.6758,0.877,0.0836,0.2096
119,0.1444,0.2756,0.7445,0.8808,0.0849,0.2108
129,0.1704,0.3859,0.801,0.8693,0.0861,0.2136
139,0.1972,0.5852,0.8103,0.8981,0.087,0.2167
149,0.2202,0.5733,0.7899,0.9106,0.0882,0.2202
159,0.2418,0.5899,0.8654,0.9145,0.0891,0.2258
169,0.265,0.6096,0.8865,0.9231,0.0903,0.232
179,0.2932,0.6171,0.8731,0.9267,0.0913,0.2381
189,0.361,0.6277,0.9145,0.9208,0.0919,0.2473
199,0.4751,0.6358,0.9208,0.9381,0.0934,0.2574
209,0.4769,0.6703,0.9245,0.9409,0.0939,0.2694
219,0.5258,0.6938,0.9243,0.9409,0.095,0.2843
229,0.6218,0.6896,0.9369,0.9413,0.0964,0.2993
239,0.6336,0.7129,0.9407,0.9478,0.0981,0.3129
249,0.6412,0.7066,0.9427,0.9364,0.0993,0.3267
259,0.6494,0.7145,0.9427,0.9495,0.1013,0.3375
269,0.6513,0.7219,0.9417,0.952,0.1025,0.3481
279,0.646,0.7255,0.8827,0.9519,0.1036,0.3586
289,0.6562,0.7665,0.9478,0.9446,0.1051,0.3689
299,0.6598,0.7912,0.9497,0.9556,0.1064,0.379
309,0.6631,0.7926,0.9515,0.9562,0.1085,0.3874
319,0.665,0.8115,0.9527,0.9552,0.1102,0.394
329,0.6676,0.8094,0.9538,0.9563,0.1112,0.401
339,0.6688,0.8157,0.9548,0.961,0.1131,0.4068
349,0.6703,0.8182,0.9557,0.9596,0.1149,0.4121
359,0.6712,0.8191,0.9569,0.961,0.1164,0.417
369,0.6717,0.8193,0.9575,0.9602,0.1185,0.421
379,0.6726,0.8239,0.9577,0.9581,0.1204,0.4255
389,0.6733,0.8257,0.8953,0.9631,0.1217,0.4305
399,0.6735,0.8242,0.9579,0.9641,0.1242,0.4337
409,0.6738,0.8284,0.9589,0.9581,0.1262,0.4375
419,0.6747,0.8282,0.9601,0.9365,0.1277,0.4411
429,0.6756,0.8254,0.9613,0.9658,0.1293,0.444
439,0.676,0.8304,0.9621,0.967,0.1304,0.4462
449,0.6763,0.8333,0.9625,0.9666,0.1321,0.4475
459,0.677,0.8339,0.9624,0.9667,0.1329,0.4494
469,0.6776,0.8342,0.9626,0.9617,0.1349,0.4514
479,0.6783,0.8361,0.9634,0.9659,0.1361,0.4532
489,0.6785,0.8386,0.9635,0.9657,0.1375,0.4539
499,0.6788,0.8376,0.9636,0.9664,0.1401,0.4555
509,0.679,0.8339,0.9648,0.9671,0.1425,0.4571
519,0.679,0.8401,0.9658,0.9662,0.1447,0.4587
529,0.6791,0.842,0.9639,0.9671,0.1463,0.4605
539,0.6792,0.8411,0.966,0.9696,0.1473,0.4616
549,0.6797,0.8407,0.9667,0.9703,0.1494,0.4633
559,0.6798,0.8408,0.9669,0.9693,0.1508,0.4638
569,0.68,0.8449,0.967,0.9664,0.1522,0.4655
579,0.6804,0.8442,0.9676,0.9688,0.1531,0.4682
589,0.6806,0.843,0.9668,0.9699,0.1543,0.4694
599,0.6806,0.8448,0.9678,0.9696,0.1563,0.4711
609,0.6808,0.8465,0.9682,0.959,0.1582,0.4719
619,0.6811,0.8478,0.9681,0.9709,0.1594,0.4733
629,0.6811,0.8479,0.9658,0.9711,0.1621,0.4741
639,0.6814,0.8481,0.9447,0.9713,0.1638,0.4749
649,0.6816,0.8486,0.969,0.9719,0.1654,0.4765
659,0.6817,0.8452,0.9695,0.9723,0.1669,0.4781
669,0.6818,0.8475,0.9697,0.9708,0.1682,0.4802
679,0.6821,0.8529,0.9697,0.973,0.1689,0.482
689,0.6823,0.8536,0.9697,0.9696,0.1708,0.4829
699,0.6824,0.8537,0.9697,0.9689,0.1727,0.4833
709,0.6827,0.8534,0.9697,0.9716,0.1732,0.4838
719,0.6828,0.8547,0.9699,0.9724,0.1749,0.4853
729,0.6826,0.8555,0.97,0.9724,0.1767,0.4863
739,0.6829,0.8552,0.9696,0.9726,0.1788,0.4873
749,0.6832,0.855,0.9639,0.971,0.1804,0.4886
759,0.6833,0.8564,0.8018,0.9715,0.182,0.4898
769,0.6834,0.8583,0.9686,0.9725,0.1834,0.4913
779,0.6835,0.8574,0.9698,0.9727,0.1854,0.494
789,0.6838,0.8567,0.9703,0.9722,0.1868,0.4957
799,0.6842,0.859,0.9706,0.9732,0.1879,0.4968
809,0.6844,0.8428,0.9705,0.9732,0.1892,0.4989
819,0.6844,0.8593,0.9708,0.9694,0.1908,0.5
829,0.6846,0.8604,0.9711,0.9741,0.1925,0.5016
839,0.685,0.8607,0.9713,0.9751,0.1933,0.5027
849,0.6852,0.8609,0.9713,0.9751,0.1937,0.5045
859,0.6856,0.8605,0.9714,0.9749,0.1941,0.5067
869,0.6857,0.862,0.9715,0.9748,0.196,0.5087
879,0.6858,0.861,0.9715,0.9747,0.1966,0.5108
889,0.6859,0.8606,0.9718,0.7863,0.1976,0.5124
899,0.686,0.8576,0.972,0.9713,0.1987,0.514
909,0.6862,0.8624,0.9718,0.9732,0.1997,0.515
919,0.6864,0.8628,0.9718,0.974,0.2017,0.5173
929,0.6865,0.8636,0.972,0.9739,0.2036,0.519
939,0.6866,0.8638,0.9721,0.9743,0.2049,0.5197
949,0.6867,0.8632,0.9726,0.9746,0.2063,0.5215
959,0.6868,0.8619,0.9728,0.9745,0.2068,0.5235
969,0.6872,0.8563,0.9729,0.9745,0.2083,0.5253
979,0.6872,0.8634,0.9732,0.975,0.2096,0.5265
989,0.6872,0.865,0.9731,0.9742,0.2107,0.5279
999,0.6872,0.8654,0.9728,0.9745,0.212,0.5291
